Station_Id_C Year Mon Day Hour PRE_1h
54424 2021 8 3 10 0.0000 
54424 2021 8 3 11 0.0000 
54424 2021 8 3 12 0.0000 
54424 2021 8 3 13 0.0000 
54424 2021 8 3 14 0.0000 
54424 2021 8 3 15 0.0000 
54424 2021 8 3 16 0.0000 
54424 2021 8 3 17 0.0000 
54424 2021 8 3 18 0.0000 
54424 2021 8 3 19 0.0000 
54424 2021 8 3 20 0.2000 
54424 2021 8 3 21 0.1000 
54424 2021 8 3 22 0.2000 
54424 2021 8 3 23 0.1000 
54431 2021 8 3 0 0.0000 
54431 2021 8 3 1 0.0000 
54431 2021 8 3 2 0.0000 
54431 2021 8 3 3 0.0000 
54431 2021 8 3 4 0.0000 
54431 2021 8 3 5 0.0000 
54431 2021 8 3 6 0.0000 
54431 2021 8 3 7 0.0000 
54431 2021 8 3 8 0.0000 
54431 2021 8 3 9 0.0000 
54431 2021 8 3 10 0.0000 
54431 2021 8 3 11 0.0000 
54431 2021 8 3 12 0.0000 
54431 2021 8 3 13 0.0000 
54431 2021 8 3 14 0.0000 
54431 2021 8 3 15 0.0000 
54431 2021 8 3 16 0.0000 
54431 2021 8 3 17 0.0000 
54431 2021 8 3 18 0.0000 
54431 2021 8 3 19 0.1000 
54431 2021 8 3 20 0.5000 
54431 2021 8 3 21 0.5000 
54431 2021 8 3 22 1.8000 
54431 2021 8 3 23 0.0000 
54433 2021 8 3 0 0.0000 
54433 2021 8 3 1 0.0000 
54433 2021 8 3 2 0.0000 
54433 2021 8 3 3 0.0000 
54433 2021 8 3 4 0.0000 
54433 2021 8 3 5 0.0000 
54433 2021 8 3 6 0.0000 
54433 2021 8 3 7 0.0000 
54433 2021 8 3 8 0.0000 
54433 2021 8 3 9 0.0000 
54433 2021 8 3 10 0.0000 
54433 2021 8 3 11 0.0000 
54433 2021 8 3 12 0.0000 
54433 2021 8 3 13 0.0000 
54433 2021 8 3 14 0.0000 
54433 2021 8 3 15 0.0000 
54433 2021 8 3 16 0.0000 
54433 2021 8 3 17 0.0000 
54433 2021 8 3 18 0.0000 
54433 2021 8 3 19 0.2000 
54433 2021 8 3 20 0.1000 
54433 2021 8 3 21 0.1000 
54433 2021 8 3 22 0.0000 
54433 2021 8 3 23 0.0000 
54499 2021 8 3 0 0.0000 
54499 2021 8 3 1 0.0000 
54499 2021 8 3 2 0.0000 
54499 2021 8 3 3 0.0000 
54499 2021 8 3 4 0.0000 
54499 2021 8 3 5 0.0000 
54499 2021 8 3 6 0.0000 
54499 2021 8 3 7 0.0000 
54499 2021 8 3 8 0.0000 
54499 2021 8 3 9 0.0000 
54499 2021 8 3 10 0.0000 
54499 2021 8 3 11 0.0000 
54499 2021 8 3 12 0.0000 
54499 2021 8 3 13 0.0000 
54499 2021 8 3 14 0.0000 
54499 2021 8 3 15 0.0000 
54499 2021 8 3 16 0.0000 
54499 2021 8 3 17 0.0000 
54499 2021 8 3 18 0.3000 
54499 2021 8 3 19 0.2000 
54499 2021 8 3 20 0.0000 
54499 2021 8 3 21 0.0000 
54499 2021 8 3 22 0.0000 
54499 2021 8 3 23 0.0000 
54501 2021 8 3 0 0.0000 
54501 2021 8 3 1 0.0000 
54501 2021 8 3 2 0.0000 
54501 2021 8 3 3 0.0000 
54501 2021 8 3 4 0.0000 
54501 2021 8 3 5 0.0000 
54501 2021 8 3 6 0.0000 
54501 2021 8 3 7 0.0000 
54501 2021 8 3 8 0.0000 
54501 2021 8 3 9 0.0000 
54501 2021 8 3 10 0.0000 
54501 2021 8 3 11 0.0000 
54501 2021 8 3 12 0.0000 
54501 2021 8 3 13 0.0000 
54501 2021 8 3 14 0.0000 
54501 2021 8 3 15 0.0000 
54501 2021 8 3 16 0.0000 
54501 2021 8 3 17 0.0000 
54501 2021 8 3 18 0.0000 
54501 2021 8 3 19 0.0000 
54501 2021 8 3 20 0.0000 
54501 2021 8 3 21 0.0000 
54501 2021 8 3 22 0.0000 
54501 2021 8 3 23 0.0000 
54505 2021 8 3 0 0.0000 
54505 2021 8 3 1 0.0000 
54505 2021 8 3 2 0.0000 
54505 2021 8 3 3 0.0000 
54505 2021 8 3 4 0.0000 
54505 2021 8 3 5 0.0000 
54505 2021 8 3 6 0.0000 
54505 2021 8 3 7 0.0000 
54505 2021 8 3 8 0.0000 
54505 2021 8 3 9 0.0000 
54505 2021 8 3 10 0.0000 
54505 2021 8 3 11 0.0000 
54505 2021 8 3 12 0.0000 
54505 2021 8 3 13 0.0000 
54505 2021 8 3 14 0.0000 
54505 2021 8 3 15 0.0000 
54505 2021 8 3 16 0.0000 
54505 2021 8 3 17 0.0000 
54505 2021 8 3 18 0.1000 
54505 2021 8 3 19 0.3000 
54505 2021 8 3 20 0.1000 
54505 2021 8 3 21 0.0000 
54505 2021 8 3 22 0.0000 
54505 2021 8 3 23 0.0000 
54511 2021 8 3 0 0.0000 
54511 2021 8 3 1 0.0000 
54511 2021 8 3 2 0.0000 
54511 2021 8 3 3 0.0000 
54511 2021 8 3 4 0.0000 
54511 2021 8 3 5 0.0000 
54511 2021 8 3 6 0.0000 
